"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"265","(305)","","265","(305)","","274","(334)","","-210","(693)"
"-12119","(247)","","-17531","(361)","","-1457","(485)","","-4671","(1057)"
"-1135","(272)","","-2757","(589)","","-1257","(330)","","-3695","(853)"
"-1097","(395)","","-2641","(367)","","-1232","(402)","","-3529","(828)"
"-1587","(373)","","-4347","(343)","","-1358","(361)","","-3869","(658)"
"-1466","(352)","","-1914","(805)","","-1411","(357)","","-3790","(930)"
"-1509","(429)","","-2715","(476)","","-1142","(440)","","-5937","(985)"
"-1562","(336)","","-3285","(736)","","-1689","(500)","","-4229","(1019)"
"-1229","(298)","","-2285","(834)","","-1231","(468)","","-3676","(1060)"
"-1228","(298)","","-2251","(842)","","-1231","(469)","","-3552","(1063)"
"-1106","(262)","","-2484","(499)","","-1264","(341)","","-3456","(861)"
"-1265","(263)","","-2345","(617)","","-1415","(377)","","-3675","(810)"
